"quote"
"“Any sufficiently advanced technology is indistinguishable from magic.” ― Arthur C. Clarke, Profiles of the Future: An Inquiry into the Limits of the Possible"
"“You never change things by fighting the existing reality.To change something, build a new model that makes the existing model obsolete.” ― Buckminster Fuller"
"“It's still magic even if you know how it's done.” ― Terry Pratchett, A Hat Full of Sky"
"“Let’s get to know each other. My name’s William, William More, but you can call me Willy. I’m an engineer-chemist who graduated from MIT. So . . . but you’re all alike to me . . . of course, you would be . . . you’re robots. And all your names are that sort of, um . . . codes, technical numbers . . . I need some marker where I can pick you out. Well, well, to you I’ll call . . .,” and Willy pondered for a moment, “Gumball, yes, Gumball! Do you mind?” “No, sir, actually no,” CSE-TR-03 said, agreeing with its new given name. “Ah, that’s wonderful. And then you’re Darwin,” Willy said, accosting the second robot. “Look what a nice name—Darwin! What do you say, eh?” “What can I say, sir? I like it,” CSE-TR-02 agreed too. “Yes, a human name with a past . . . You and Gumball . . . are from the same family, the Methanesons!” “It turns out thus, sir,” Darwin confirmed its family belonging. “And you’re like Larry. You’re Larry. Do you know that?” More addressed the next robot in line. “Yes, sir, just now I learned that,” the third robot said, accepted its name as well.” ― Todor Bombov, Homo Cosmicus 2: Titan: A Science Fiction Novel"
"“We are stuck with technology when what we really want is just stuff that works.” ― Douglas Adams, The Salmon of Doubt: Hitchhiking the Galaxy One Last Time"
"“Please, no matter how we advance technologically, please don't abandon the book. There is nothing in our material world more beautiful than the book.""(Acceptance speech, National Book Award 2010 (Nonfiction), November 17, 2010)” ― Patti Smith"
"“V-Day…if you need this one day in a year to show everyone else you truly care for “your loved one” I think it’s quite stupid. I hate this commercialism. It’s all artificial, and has nothing to do with real love.” ― Jess C Scott, EyeLeash: A Blog Novel"
"“There will come a time when it isn't 'They're spying on me through my phone' anymore. Eventually, it will be 'My phone is spying on me'.” ― Philip K. Dick"
"“My head’ll explode if I continue with this escapism.” ― Jess C Scott, EyeLeash: A Blog Novel"
"“First we thought the PC was a calculator. Then we found out how to turn numbers into letters with ASCII — and we thought it was a typewriter. Then we discovered graphics, and we thought it was a television. With the World Wide Web, we've realized it's a brochure.” ― Douglas Adams"
"“Yesterday, I asked a robot, Gumball I think, do you know Murphy’s law of gravitation? It answered, ‘No, sir, I know only Newton’s and Einstein’s laws of gravitation; I don’t know Murphy’s law.’ I replied, ‘Eh, Gumball, the slice always falls with the buttered side to the floor. That’s Murphy’s law.’” Everyone burst into laughter.” ― Todor Bombov, Homo Cosmicus 2: Titan"
"“Maybe you could be mine / or maybe we’ll be entwined / aimless in this sexless foreplay.” ― Jess C Scott, EyeLeash: A Blog Novel"
"“The real problem of humanity is the following: We have Paleolithic emotions, medieval institutions and godlike technology. And it is terrifically dangerous, and it is now approaching a point of crisis overall.” ― Edward O. Wilson"
"“Before you become too entranced with gorgeous gadgets and mesmerizing video displays, let me remind you that information is not knowledge, knowledge is not wisdom, and wisdom is not foresight. Each grows out of the other, and we need them all.” ― Arthur C. Clarke"
"“A CD. How quaint. We have these in museums.” ― Eoin Colfer, The Eternity Code"
"“That’s sad. How plastic and artificial life has become. It gets harder and harder to find something…real.” Nin interlocked his fingers, and stretched out his arms. “Real love, real friends, real body parts…” ― Jess C Scott, The Other Side of Life"
"“I suppose it’s not a social norm, and not a manly thing to do — to feel, discuss feelings. So that’s what I’m giving the finger to. Social norms and stuff…what good are social norms, really? I think all they do is project a limited and harmful image of people. It thus impedes a broader social acceptance of what someone, or a group of people, might actually be like.” ― Jess C Scott, New Order"
"“Computers are useless. They can only give you answers.” ― Pablo Picasso"
"“Technological progress has merely provided us with more efficient means for going backwards.” ― Aldous Huxley, Ends and Means"
"“You may live to see man-made horrors beyond your comprehension.” ― Nikola Tesla"
"“AI-powered passive monitoring is taking off and has huge advantages over the traditional way of monitoring patients. The advantage of passive monitoring, as opposed to data collected from wearables, is that it doesn’t require patients or seniors to actively wear a device at all times. Used in a hospital setting, the tech reduces healthcare workers’ risk of exposure to COVID-19 by limiting their contact with patients and automating data collection for vital signs. Also, camera-based monitoring is unpopular for the simple reason that a lot of people don’t like being watched by a camera.” ― Ronald M. Razmi, AI Doctor: The Rise of Artificial Intelligence in Healthcare - A Guide for Users, Buyers, Builders, and Investors"
"“At the end of a miserable day, instead of grieving my virtual nothing, I can always look at my loaded wastepaper basket and tell myself that if I failed, at least I took a few trees down with me.” ― David Sedaris, Me Talk Pretty One Day"
"“It's supposed to be automatic, but actually you have to push this button. ” ― John Brunner, Stand on Zanzibar"
"“People today have forgotten they're really just a part of nature. Yet, they destroy the nature on which our lives depend. They always think they can make something better. Especially scientists. They may be smart, but most don't understand the heart of nature. They only invent things that, in the end, make people unhappy. Yet they're so proud of their inventions. What's worse, most people are, too. They view them as if they were miracles. They worship them. They don't know it, but they're losing nature. They don't see that they're going to perish. The most important things for human beings are clean air and clean water.” ― Akira Kurosawa, Yume"
"“The test of the machine is the satisfaction it gives you. There isn't any other test. If the machine produces tranquility it's right. If it disturbs you it's wrong until either the machine or your mind is changed.” ― Robert M. Pirsig, Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values"
"“I feel like the Earth has cracked open and swallowed me into a bottomless abyss.” ― March Lions, The Last Sunset"
"“Stepfather?"" ""It means he fucks your mum and isn't really your dad.” ― Adam Scott Huerta, Motive Black"
"“The conservatives are fools: They whine about the decay of traditional values, yet they enthusiastically support technological progress and economic growth. Apparently it never occurs to them that you can't make rapid, drastic changes in the technology and the economy of a society without causing rapid changes in all other aspects of the society as well, and that such rapid changes inevitably break down traditional values.” ― Theodore J. Kaczynski, Industrial Society and Its Future"
"“Ours is a world of nuclear giants and ethical infants. We know more about war than we know about peace, more about killing than we know about living. We have grasped the mystery of the atom and rejected the Sermon on the Mount.” ― Omar N. Bradley"
"“We refuse to turn off our computers, turn off our phone, log off Facebook, and just sit in silence, because in those moments we might actually have to face up to who we really are.” ― Jefferson Bethke, Jesus > Religion: Why He Is So Much Better Than Trying Harder, Doing More, and Being Good Enough"
"“The issue of reimbursement by payers is an important factor that should be discussed. Is it possible that if radiologists use AI to read scans, they’ll receive less reimbursement? Or to approach this from the other angle, if payers are reimbursing for the use of AI, will they pay radiologists less as a result? My discussions with insurance executives have shown that they don’t think this is likely. If the use of these technologies will improve patient outcomes and lead to fewer errors, there are benefits to them that will motivate executives to pay for them in addition to radiologists’ reading fees.” ― Ronald M. Razmi, AI Doctor: The Rise of Artificial Intelligence in Healthcare - A Guide for Users, Buyers, Builders, and Investors"
"“Even the technology that promises to unite us, divides us. Each of us is now electronically connected to the globe, and yet we feel utterly alone.” ― Dan Brown, Angels & Demons"
"“L.G.B.T.Q.I.P.O.Z.A.A.C.V………….” ” ― Adam Scott Huerta, Motive Black"
"“The peculiar predicament of the present-day self surely came to pass as a consequence of the disappointment of the high expectations of the self as it entered the age of science and technology. Dazzled by the overwhelming credentials of science, the beauty and elegance of the scientific method, the triumph of modern medicine over physical ailments, and the technological transformation of the very world itself, the self finds itself in the end disappointed by the failure of science and technique in those very sectors of life which had been its main source of ordinary satisfaction in past ages.As John Cheever said, the main emotion of the adult Northeastern American who has had all the advantages of wealth, education, and culture is disappointment.Work is disappointing. In spite of all the talk about making work more creative and self-fulfilling, most people hate their jobs, and with good reason. Most work in modern technological societies is intolerably dull and repetitive.Marriage and family life are disappointing. Even among defenders of traditional family values, e.g., Christians and Jews, a certain dreariness must be inferred, if only from the average time of TV viewing. Dreary as TV is, it is evidently not as dreary as Mom talking to Dad or the kids talking to either.School is disappointing. If science is exciting and art is exhilarating, the schools and universities have achieved the not inconsiderable feat of rendering both dull. As every scientist and poet knows, one discovers both vocations in spite of, not because of, school. It takes years to recover from the stupor of being taught Shakespeare in English Lit and Wheatstone's bridge in Physics.Politics is disappointing. Most young people turn their backs on politics, not because of the lack of excitement of politics as it is practiced, but because of the shallowness, venality, and image-making as these are perceived through the media--one of the technology's greatest achievements.The churches are disappointing, even for most believers. If Christ brings us new life, it is all the more remarkable that the church, the bearer of this good news, should be among the most dispirited institutions of the age. The alternatives to the institutional churches are even more grossly disappointing, from TV evangelists with their blown-dry hairdos to California cults led by prosperous gurus ignored in India but embraced in La Jolla.Social life is disappointing. The very franticness of attempts to reestablish community and festival, by partying, by groups, by club, by touristy Mardi Gras, is the best evidence of the loss of true community and festival and of the loneliness of self, stranded as it is as an unspeakable consciousness in a world from which it perceives itself as somehow estranged, stranded even within its own body, with which it sees no clear connection. But there remains the one unquestioned benefit of science: the longer and healthier life made possible by modern medicine, the shorter work-hours made possible by technology, hence what is perceived as the one certain reward of dreary life of home and the marketplace: recreation.Recreation and good physical health appear to be the only ambivalent benefits of the technological revolution.” ― Walker Percy, Lost in the Cosmos: The Last Self-Help Book"
"“The iPod completely changed the way people approach music.” ― Karl Lagerfeld"
"“We can’t jump off bridges anymore because our iPhones will get ruined. We can’t take skinny dips in the ocean because there’s no service on the beach and adventures aren’t real unless they’re on Instagram. Technology has doomed the spontaneity of adventure and we’re helping destroy it every time we Google, check-in, and hashtag.” ― Jeremy Glass"
"“Books don't need batteries.” ― Nadine Gordimer"
"“Don't explain computers to laymen. Simpler to explain sex to a virgin.” ― Robert A. Heinlein, The Moon Is a Harsh Mistress"
"“ ‘The onboard computer just wants to say a few words before we leave.’ The speakers in the cabin crackled into life. ‘Ladies and gentlemen, I would like to welcome you on-board the presidential shuttle for tonight’s illicit flight, Alfa Bravo Charlie. I would just like to say it’s a pleasure to meet you all and thank you so much for coming here tonight to steal me. To be honest I don’t get out much these days so this is something of a special occasion.’ ‘It will be for us too if we get caught,’ Semilla said sardonically.” ― A.R. Merrydew, Our Blue Orange"
"“Mastering the technology to create effigies of our ourselves, will be our downfall.” ― A.R. Merrydew"
